#Data    ; Gap       ; Datasieving ; Buffer ; Performance
#Byte    ; Byte      ; on/off      ; MByte  ; MByte/s
32768    ; 360448    ; 0           ; 1      ; 12          
32768    ; 360448    ; 0           ; 1      ; 12          
32768    ; 360448    ; 0           ; 1      ; 12          
131072   ; 0         ; 1           ; 1      ; 94          
131072   ; 0         ; 1           ; 1      ; 97          
131072   ; 0         ; 1           ; 1      ; 96          
131072   ; 0         ; 1           ; 1      ; 98          
131072   ; 0         ; 1           ; 1      ; 96          
131072   ; 2048      ; 1           ; 1      ; 94          
131072   ; 2048      ; 1           ; 1      ; 94          
131072   ; 2048      ; 1           ; 1      ; 92          
131072   ; 2048      ; 1           ; 1      ; 96          
131072   ; 2048      ; 1           ; 1      ; 96          
131072   ; 4096      ; 1           ; 1      ; 90          
131072   ; 4096      ; 1           ; 1      ; 93          
131072   ; 4096      ; 1           ; 1      ; 93          
131072   ; 4096      ; 1           ; 1      ; 94          
131072   ; 4096      ; 1           ; 1      ; 95          
131072   ; 8192      ; 1           ; 1      ; 91          
131072   ; 8192      ; 1           ; 1      ; 91          
131072   ; 8192      ; 1           ; 1      ; 90          
131072   ; 8192      ; 1           ; 1      ; 90          
131072   ; 8192      ; 1           ; 1      ; 90          
131072   ; 16384     ; 1           ; 1      ; 86          
131072   ; 16384     ; 1           ; 1      ; 88          
131072   ; 16384     ; 1           ; 1      ; 86          
131072   ; 16384     ; 1           ; 1      ; 83          
131072   ; 16384     ; 1           ; 1      ; 85          
131072   ; 32768     ; 1           ; 1      ; 77          
131072   ; 32768     ; 1           ; 1      ; 76          
131072   ; 32768     ; 1           ; 1      ; 75          
131072   ; 32768     ; 1           ; 1      ; 75          
131072   ; 32768     ; 1           ; 1      ; 75          
131072   ; 65536     ; 1           ; 1      ; 26          
131072   ; 65536     ; 1           ; 1      ; 55          
131072   ; 65536     ; 1           ; 1      ; 54          
131072   ; 65536     ; 1           ; 1      ; 54          
131072   ; 65536     ; 1           ; 1      ; 52          
131072   ; 131072    ; 1           ; 1      ; 47          
131072   ; 131072    ; 1           ; 1      ; 52          
131072   ; 131072    ; 1           ; 1      ; 51          
131072   ; 131072    ; 1           ; 1      ; 50          
131072   ; 131072    ; 1           ; 1      ; 52          
131072   ; 262144    ; 1           ; 1      ; 19          
131072   ; 262144    ; 1           ; 1      ; 17          
131072   ; 262144    ; 1           ; 1      ; 17          
131072   ; 262144    ; 1           ; 1      ; 16          
131072   ; 262144    ; 1           ; 1      ; 17          
131072   ; 393216    ; 1           ; 1      ; 29          
131072   ; 393216    ; 1           ; 1      ; 29          
131072   ; 393216    ; 1           ; 1      ; 29          
131072   ; 393216    ; 1           ; 1      ; 28          
131072   ; 393216    ; 1           ; 1      ; 27          
131072   ; 524288    ; 1           ; 1      ; 19          
131072   ; 524288    ; 1           ; 1      ; 19          
131072   ; 524288    ; 1           ; 1      ; 19          
131072   ; 524288    ; 1           ; 1      ; 18          
131072   ; 524288    ; 1           ; 1      ; 19          
131072   ; 655360    ; 1           ; 1      ; 13          
131072   ; 655360    ; 1           ; 1      ; 14          
131072   ; 655360    ; 1           ; 1      ; 13          
131072   ; 655360    ; 1           ; 1      ; 12          
131072   ; 655360    ; 1           ; 1      ; 15          
131072   ; 786432    ; 1           ; 1      ; 10          
131072   ; 786432    ; 1           ; 1      ; 10          
131072   ; 786432    ; 1           ; 1      ; 10          
131072   ; 786432    ; 1           ; 1      ; 10          
131072   ; 786432    ; 1           ; 1      ; 9           
131072   ; 917504    ; 1           ; 1      ; 18          
131072   ; 917504    ; 1           ; 1      ; 18          
131072   ; 917504    ; 1           ; 1      ; 17          
131072   ; 917504    ; 1           ; 1      ; 18          
131072   ; 917504    ; 1           ; 1      ; 17          
131072   ; 1048576   ; 1           ; 1      ; 12          
131072   ; 1048576   ; 1           ; 1      ; 12          
131072   ; 1048576   ; 1           ; 1      ; 12          
131072   ; 1048576   ; 1           ; 1      ; 12          
131072   ; 1048576   ; 1           ; 1      ; 12          
131072   ; 1179648   ; 1           ; 1      ; 11          
131072   ; 1179648   ; 1           ; 1      ; 11          
131072   ; 1179648   ; 1           ; 1      ; 11          
131072   ; 1179648   ; 1           ; 1      ; 12          
131072   ; 1179648   ; 1           ; 1      ; 12          
131072   ; 1310720   ; 1           ; 1      ; 11          
131072   ; 1310720   ; 1           ; 1      ; 11          
131072   ; 1310720   ; 1           ; 1      ; 11          
131072   ; 1310720   ; 1           ; 1      ; 11          
131072   ; 1310720   ; 1           ; 1      ; 11          
131072   ; 1441792   ; 1           ; 1      ; 11          
131072   ; 1441792   ; 1           ; 1      ; 10          
131072   ; 1441792   ; 1           ; 1      ; 10          
131072   ; 1441792   ; 1           ; 1      ; 12          
131072   ; 1441792   ; 1           ; 1      ; 11          
131072   ; 0         ; 0           ; 1      ; 95          
131072   ; 0         ; 0           ; 1      ; 94          
131072   ; 0         ; 0           ; 1      ; 95          
131072   ; 0         ; 0           ; 1      ; 99          
131072   ; 0         ; 0           ; 1      ; 97          
131072   ; 2048      ; 0           ; 1      ; 97          
131072   ; 2048      ; 0           ; 1      ; 97          
131072   ; 2048      ; 0           ; 1      ; 96          
131072   ; 2048      ; 0           ; 1      ; 92          
131072   ; 2048      ; 0           ; 1      ; 97          
131072   ; 4096      ; 0           ; 1      ; 94          
131072   ; 4096      ; 0           ; 1      ; 95          
